Name (First and Last),What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
Sem a. Con,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,African and African American Studies;Environmental Sciences,Marine Science and Conservation,Markets and Management;Policy Journalism and Media Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Charlotte NC;Miami/Central Florida/Tampa Bay,Dentistry,Networking and professional connections;Work-life balance and time management;Emotional support,Pets;Reading;Athletics/Playing Sports,6,7,8,10,7,9,8,3,0
Arcu neque,testemail@qemailserver.com,Pratt,Senior,Native American or American Indian,None,Civil Engineering;Computational Media;Statistical Science,Chemistry,Islamic Studies;Materials Science and Engineering;Philosophy Politics and Economics,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Southern California;Miami/Central Florida/Tampa Bay,Retail and e-commerce;Pharmaceutical,Career exploration and decision-making;Work-life balance and time management,Family Time,6,3,1,3,9,0,1,5,0
Ut mauris ,testemail@qemailserver.com,Pratt,Sophomore,Black or African-American;Hispanic or Latinx;Native American or American Indian;Other,None,Computer Science,Asian American and Diaspora Studies;Religious Studies;Visual Arts,Health Policy;Latinx Studies in the Global South;Markets and Management,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Southern California,Pharmaceutical,Career exploration and decision-making;Academic success and study skills;Work-life balance and time management,Traveling;Volunteering;Performing Arts,4,2,6,6,10,7,5,3,0
Consectetu,testemail@qemailserver.com,Trinity,Sophomore,Middle Eastern,None,Cultural Anthropology;Visual Arts,Brazilian and Global Portuguese Studies;Cinematic Arts;Theater Studies,Digital Intelligence;Documentary Studies;Science and the Public,MD (Doctor of Medicine);PhD (Doctor of Philosophy);MS (Master of Science);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MSW (Master of Social Work);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Southern California;Charlotte NC;EU,Artificial Intelligence / Machine Learning / Data Science,Academic success and study skills,Visual Arts/Crafts;Time with Friends,4,9,7,10,9,1,3,8,0
Nulla ferm,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Hispanic or Latinx;Native American or American Indian;White;Other;Prefer not to answer,None,Global Health;Mathematics;Slavic and Eurasian Studies,Sociology,Materials Science and Engineering,MD (Doctor of Medicine);MS (Master of Science);MSN (Master of Science in Nursing);MPP (Masters of Public Policy),Philadelphia and mid/southern NJ;Houston/Dallas/Austin;India,Marketing / Advertising;Hospitality and Tourism;Veterinary Medicine,Academic success and study skills;Work-life balance and time management,Fashion;Outdoor Activities/Hiking/Camping;Visual Arts/Crafts,7,1,10,8,0,7,5,6,0
A sceleris,testemail@qemailserver.com,Pratt,Junior,Hispanic or Latinx;Native American or American Indian,None,Linguistics and Computer Science,Classical Archaeology;Computational Biology and Bioinformatics;Italian Studies,Energy and the Environment;Latinx Studies in the Global South,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Nashville TN,Academia / Higher Ed,Skill development in a specific field;Academic success and study skills;Emotional support,Fishing/Hunting,4,9,10,9,7,1,2,6,0
Tempora su,testemail@qemailserver.com,Trinity,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Linguistics;Religious Studies,Asian American and Diaspora Studies;History,Latin American Studies;Policy Journalism and Media Studies,MD (Doctor of Medicine);MBA (Masters of Business Administration);MA (Master of Arts);MeD (Master of Education);MEM (Master of Engineering Management);MPH (Master of Public Health);MM (Master in Management),I don't know/Skip this question;New York City/Tri-State area;Baltimore MD,Technology / Software / IT;Architecture and Design,Skill development in a specific field;Academic success and study skills;Work-life balance and time management,Fashion;Visual Arts/Crafts;Watching Sports,0,4,0,9,7,4,5,2,0
Suscipit t,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Art History,Asian and Middle Eastern Studies;Statistical Science,Markets and Management,None / Not listed,Atlanta GA;Chicago IL;UK,Biotechnology;Agricultural and Food Science,Emotional support,Fitness;Traveling;Visual Arts/Crafts,1,9,3,10,6,6,3,6,0
Vel. Vehic,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Dance,Finance,Science and the Public,None / Not listed;MD (Doctor of Medicine);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Washington DC;China,Healthcare,Academic success and study skills,Traveling;Visual Arts/Crafts;Performing Arts,1,6,8,7,9,4,9,1,0
Tempus; eu,testemail@qemailserver.com,Pratt,Senior,Hispanic or Latinx,None,Computational Media,Gender Sexuality and Feminist Studies;Global Health,Health Policy,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL;Nashville TN;Baltimore MD,Arts / Creative Industries;Transportation and logistics,Academic success and study skills;Personal growth and self-improvement,Gaming;Volunteering;Performing Arts,3,6,2,6,4,9,10,8,0
Tempora fa,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Earth and Climate Sciences,Finance;Philosophy,East Asian Studies;Human Rights;Latin American Studies,JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MEM (Master of Environmental Management);MSW (Master of Social Work),I don't know/Skip this question;Washington DC;China,Medical;Pharmaceutical,Career exploration and decision-making;Emotional support,Cooking/Baking;Athletics/Playing Sports,2,0,5,0,8,8,8,7,0
Natoque ma,testemail@qemailserver.com,Pratt,Sophomore,Black or African-American,None,Art History and Visual Arts;Linguistics;Linguistics and Computer Science,Dance;Finance,None;Aerospace Engineering;Innovation and Entrepreneurship,None / Not listed;JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Northern California,Technology / Software / IT;Nursing;Politics / Government and public sector,Career exploration and decision-making;Networking and professional connections;Work-life balance and time management,Visual Arts/Crafts;Watching Sports;Time with Friends,9,6,10,6,7,8,3,1,0
Culpa vest,testemail@qemailserver.com,Trinity,Junior,Other;Prefer not to answer,None,Economics;Visual Arts,Cultural Anthropology,Information Science and Information Studies;Islamic Studies,MEng (Master of Engineering),Atlanta GA,Marketing / Advertising,Career exploration and decision-making,Cooking/Baking;Athletics/Playing Sports,1,6,6,10,10,9,10,5,0
Placerat r,testemail@qemailserver.com,Pratt,Junior,Black or African-American;White;Other,None,Computational Media,Electrical and Computer Engineering,Digital Intelligence;East Asian Studies,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MS (Master of Science);Psy.D (Doctor of Psychology);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA,Marketing / Advertising;STEM;Architecture and Design,Academic success and study skills;Personal growth and self-improvement;Work-life balance and time management,Volunteering;Movies/TV;Time with Friends,8,4,6,9,7,5,7,1,0
Dictumst n,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Middle Eastern;Native American or American Indian;Prefer not to answer,None,Computational Media;Marine Science and Conservation;Theater Studies,Earth and Climate Sciences;Machine Learning and Artificial Intelligence;Medical Sociology,None;Human Rights;Markets and Management,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Baltimore MD,Pharmaceutical;Religion,Emotional support,Gardening,10,6,5,4,3,5,1,5,0
Odio gravi,testemail@qemailserver.com,Trinity,Senior,Hispanic or Latinx;Native American or American Indian;White;Other,None,Computational Media;Interdisciplinary Engineering and Applied Science (IDEAS),Energy Engineering,East Asian Studies;Latinx Studies in the Global South,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration),Atlanta GA;Miami/Central Florida/Tampa Bay;Richmond VA,STEM,Skill development in a specific field;Academic success and study skills,Volunteering,4,9,2,6,6,1,4,4,0
Pretium co,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Native American or American Indian,None,Environmental Sciences and Policy,French Studies;Latin;Russian Culture and Language,Child Policy Research;Information Science and Information Studies;Sustainability Engagement,MBA (Masters of Business Administration);MS (Master of Science),Houston/Dallas/Austin;Baltimore MD,Biotechnology;Research and Development,Career exploration and decision-making;Networking and professional connections,Fashion;Gaming,7,5,7,5,6,5,1,0,0
Malesuada ,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Theater Studies;Undecided,Asian and Middle Eastern Studies;Dance,Markets and Management,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area,STEM;Accounting,Emotional support,Performing Arts,9,9,3,1,0,6,1,5,0
Laoreet su,testemail@qemailserver.com,Trinity,Sophomore,Black or African-American;Middle Eastern;White,None,Mechanical Engineering,Brazilian and Global Portuguese Studies;Russian Culture and Language,East Asian Studies;Jewish Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Philadelphia and mid/southern NJ,Medical;Fashion and Apparel,Academic success and study skills,Outdoor Activities/Hiking/Camping;Movies/TV,2,5,7,8,9,9,1,10,0
Commodo ul,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other,None,Computational Media;Statistical Science,Statistical Science,Aerospace Engineering;Human Rights;Science and the Public,Psy.D (Doctor of Psychology);MEM (Master of Engineering Management),New York City/Tri-State area;Pacific Northwest/Seattle;Houston/Dallas/Austin,Healthcare,Skill development in a specific field,Reading;Fishing/Hunting,7,8,6,2,9,8,0,6,0
Velit scel,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Other;Prefer not to answer,None,Mechanical Engineering;Romance Studies,English,Digital Intelligence;East Asian Studies,None / Not listed;MD (Doctor of Medicine);MS (Master of Science);MEM (Master of Environmental Management);MEng (Master of Engineering),Raleigh/Durham/Chapel Hill;Boston MA;India,Arts / Creative Industries;Pharmaceutical,Networking and professional connections;Academic success and study skills;Personal growth and self-improvement,Watching Sports;Performing Arts;Time with Friends,6,7,9,0,2,9,5,0,0
Commodo nu,testemail@qemailserver.com,Pratt,Senior,Hispanic or Latinx;Middle Eastern;White;Other;Prefer not to answer,None,Biology;Environmental Engineering,Computational Media,Architectural Engineering;Energy and the Environment;Latin American Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering),Atlanta GA;Houston/Dallas/Austin;Miami/Central Florida/Tampa Bay,Agricultural and Food Science,Skill development in a specific field,Fashion;Pets;Performing Arts,9,7,3,7,6,3,5,10,0
Rhoncus ac,testemail@qemailserver.com,Trinity,Senior,Middle Eastern;Native American or American Indian;White,None,Cultural Anthropology,Computer Science;Medieval and Renaissance Studies,Digital Intelligence;Innovation and Entrepreneurship;Jewish Studies,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration),Denver CO;Baltimore MD,Technology / Software / IT,Academic success and study skills;Personal growth and self-improvement,Fashion;Visual Arts/Crafts,4,7,1,3,2,4,3,2,0
Tincidunt ,testemail@qemailserver.com,Trinity,Junior,Native American or American Indian,None,Linguistics;Political Science;Russian,English;Mathematics,Architectural Engineering;Documentary Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Boston MA;Baltimore MD,Real estate;Dentistry,Career exploration and decision-making;Networking and professional connections;Personal growth and self-improvement,Fashion;Athletics/Playing Sports;Visual Arts/Crafts,6,4,10,9,4,0,9,5,0
Tellus pur,testemail@qemailserver.com,Pratt,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Other;Prefer not to answer,None,Philosophy,Classical Archaeology;Religious Studies,Decision Sciences;Islamic Studies;Materials Science and Engineering,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin;Miami/Central Florida/Tampa Bay;India,Agricultural and Food Science;Architecture and Design;Military,Career exploration and decision-making;Academic success and study skills;Personal growth and self-improvement,Gardening;Reading;Fishing/Hunting,5,8,3,5,8,7,2,3,0
Turpis dui,testemail@qemailserver.com,Pratt,Junior,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Classical Languages;Physics;Psychology,Global Cultural Studies;Mathematics,Information Science and Information Studies;Jewish Studies,MD (Doctor of Medicine);MeD (Master of Education);MEM (Master of Engineering Management),Charlotte NC;Philadelphia and mid/southern NJ;Denver CO,International Relations,Personal growth and self-improvement,Volunteering,7,4,2,0,7,1,8,5,0
Interdum n,testemail@qemailserver.com,Trinity,Senior,Black or African-American;Middle Eastern;Prefer not to answer,None,Computational Media,Computer Science;Philosophy,Child Policy Research,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),New York City/Tri-State area;Nashville TN,Finance / Investment / Banking;Politics / Government and public sector;Environmental Science,Career exploration and decision-making;Skill development in a specific field;Networking and professional connections,Cooking/Baking,4,4,9,5,3,9,2,5,0
Justo susc,testemail@qemailserver.com,Trinity,Junior,Asian or Pacific islander;Middle Eastern,None,Biophysics;Physics;Slavic and Eurasian Studies,Classical Archaeology,East Asian Studies,MSN (Master of Science in Nursing);MSW (Master of Social Work);MPA (Master of Public Administration),Raleigh/Durham/Chapel Hill,Retail and e-commerce;Transportation and logistics,Work-life balance and time management,Visual Arts/Crafts,10,1,9,5,6,9,8,6,0
Elit aliqu,testemail@qemailserver.com,Pratt,Sophomore,Asian or Pacific islander;Black or African-American;Middle Eastern;Other,None,Neuroscience;Spanish Latin American and Latinx Studies,Finance;Greek,Documentary Studies;Energy and the Environment,MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPA (Master of Public Administration),Philadelphia and mid/southern NJ;Chicago IL;Richmond VA,Journalism;Physical Therapy,Skill development in a specific field,Watching Sports,7,4,2,4,1,2,7,1,0
Phasellus ,testemail@qemailserver.com,Pratt,Senior,Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Other;Prefer not to answer,None,Chemistry;Theater Studies,None;Chemistry;Italian Studies,Digital Intelligence;Innovation and Entrepreneurship,MM (Master in Management),Chicago IL,Veterinary Medicine,Skill development in a specific field;Emotional support,Cooking/Baking;Reading;Watching Sports,8,7,9,8,1,7,6,7,0
In nec tel,testemail@qemailserver.com,Trinity,Senior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Civil Engineering;Computer Science;Mathematics,None;Global Health,Markets and Management;Robotics and Automation,MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);MSN (Master of Science in Nursing);MPA (Master of Public Administration);MM (Master in Management),Chicago IL;Richmond VA,Food and beverage,Career exploration and decision-making;Skill development in a specific field;Academic success and study skills,Outdoor Activities/Hiking/Camping;Pets;Watching Sports,4,9,7,8,0,4,5,4,0
Nunc torto,testemail@qemailserver.com,Pratt,Sophomore,White,None,English;Global Health;Spanish Latin American and Latinx Studies,Environmental Sciences and Policy;Psychology,Science and the Public,None / Not listed;PhD (Doctor of Philosophy);Psy.D (Doctor of Psychology);MeD (Master of Education);MPA (Master of Public Administration);MM (Master in Management),Northern California;Chicago IL,Accounting,Career exploration and decision-making;Networking and professional connections;Emotional support,Gardening;Pets;Movies/TV,0,8,4,9,2,3,2,9,0
Posuere! P,testemail@qemailserver.com,Trinity,Sophomore,Middle Eastern;Native American or American Indian;Other;Prefer not to answer,None,Environmental Engineering;Public Policy Studies,Russian and East European Literatures in Translation,Documentary Studies;Islamic Studies,MEM (Master of Environmental Management),Charlotte NC;Pacific Northwest/Seattle,Pharmaceutical,Career exploration and decision-making;Skill development in a specific field;Work-life balance and time management,Family Time;Traveling,7,5,4,2,0,4,0,6,0
Convallis ,testemail@qemailserver.com,Pratt,Sophomore,Black or African-American;Other;Prefer not to answer,None,Economics;Environmental Sciences and Policy;Marine Science and Conservation,Biology;Mathematics;Russian and East European Literatures in Translation,Information Science and Information Studies,None / Not listed;JD (Juris Doctorate/Law);Psy.D (Doctor of Psychology);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),Boston MA;Charlotte NC,Medical;Marketing / Advertising,Networking and professional connections;Academic success and study skills;Emotional support,Pets;Fishing/Hunting,4,8,3,3,1,3,9,4,0
Facilisis.,testemail@qemailserver.com,Pratt,Junior,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other,None,Dance,English,Latin American Studies,None / Not listed;PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MHA (Master of Healthcare Administration);MPA (Master of Public Administration),Baltimore MD,Arts / Creative Industries,Career exploration and decision-making;Personal growth and self-improvement;Work-life balance and time management,Reading;Traveling;Visual Arts/Crafts,9,1,4,0,1,3,5,6,0
Porta vive,testemail@qemailserver.com,Pratt,Sophomore,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Civil Engineering;Environmental Engineering;Mechanical Engineering,Russian Culture and Language,Decision Sciences;Markets and Management;Robotics and Automation,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),Washington DC;Denver CO,Food and beverage,Skill development in a specific field;Emotional support,Family Time;Performing Arts,10,5,6,1,9,8,3,2,0
Sollicitud,testemail@qemailserver.com,Trinity,Junior,Black or African-American;Hispanic or Latinx;Native American or American Indian,None,Computational Media;Spanish Latin American and Latinx Studies,Political Science,Philosophy Politics and Economics,MHA (Master of Healthcare Administration),New York City/Tri-State area;Charlotte NC,STEM;Venture Capital,Skill development in a specific field;Networking and professional connections;Emotional support,Pets,2,4,4,4,6,4,9,5,0
Ante a; po,testemail@qemailserver.com,Trinity,Senior,Hispanic or Latinx;Native American or American Indian,None,Linguistics,Latin,Child Policy Research;Ethics and Society,None / Not listed;JD (Juris Doctorate/Law);MFA (Master of Fine Arts);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MM (Master in Management),Southern California;Houston/Dallas/Austin,Consulting and professional services;Venture Capital,Skill development in a specific field;Work-life balance and time management,Fitness;Volunteering,9,8,5,8,7,3,0,6,0
