Count,Name (First and Last),NetID,What is your email address?,Are you in Trinity or Pratt?,What year are you? For this pilot program; we invite sophomores; juniors and seniors to participate. Since Blue Devil Buddies serves as the mentorship program for first-years; freshmen are not eligible to participate at this time.,Gender,Which ethnic/racial identity(s) do you most identify with?,Identity,What is your intended major? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer) (If you are doing Program II; select the option(s) that are most similar to what you are studying),Do you intend to complete any minors? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),Do you intend to complete any certificates? Select up to three. (You can select multiple choices by holding down the CTRL or COMMAND key on your computer),What graduate degrees do you hope to pursue; if any?,The following is a list of regions where there are larger concentrations of active; engaged Duke alumni. If you're interested to moving to any of these locations after graduation; select up to three. This can be useful for generating matches; but matches will not be made based on location alone. (Select up to three).,What industries are you considering starting a career in/want to learn more about? Select up to three. If the industry you're looking for isn't listed; choose the most similar option.,In which areas are you looking for guidance or support? (Select up to three),What are your other interests? Select up to three.,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Ethnicity / Race,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Hobbies / Interests,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Major / Academic Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Graduate Degree Interest,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Industry,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Location,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - First Generation,Finally; which qualities are most important for you to have in common with your mentor? Use the sliders to rate from least important (0) to most important (10). Please give this some serious thought - while we cannot guarantee you will have the exact criteria; we will generate pairings based on the criteria you select. - Areas for guidance / support,NumStudent
68,Molestie p,68,testemail@qemailserver.com,Pratt,Junior,Female,Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,African and African American Studies;Evolutionary Anthropology;Medieval and Renaissance Studies,Cinematic Arts;Computational Media;Global Cultural Studies,Architectural Engineering;Latinx Studies in the Global South,MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MPA (Master of Public Administration);DVM (Doctor of Veterinary Medicine),Boston MA;Nashville TN,Non-Profit and Social Services;International Relations,Networking and professional connections;Academic success and study skills;Personal growth and self-improvement,Fitness;Volunteering;Movies/TV,8,9,3,4,2,6,3,1,0
69,Mi phasell,69,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Black or African-American;Middle Eastern;Native American or American Indian;White;Prefer not to answer,None,Environmental Sciences,Musical Theater,Science and the Public,None / Not listed;MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),UK,Food and beverage;Physical Therapy,Networking and professional connections;Personal growth and self-improvement;Emotional support,Music/Dance,2,5,9,8,6,5,4,3,0
70,Aenean mal,70,testemail@qemailserver.com,Pratt,Sophomore,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other,None,Computer Science,Environmental Sciences and Policy,Child Policy Research;Human Rights,PhD (Doctor of Philosophy);MeD (Master of Education);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question;New York City/Tri-State area;Nashville TN,Fashion and Apparel;Veterinary Medicine,Emotional support,Gardening;Volunteering;Time with Friends,5,0,10,3,9,1,1,4,0
71,Est? Dolor,71,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Hispanic or Latinx;Other,None,Italian and European Studies;Political Science;Romance Studies,Russian and East European Literatures in Translation,Jewish Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Washington DC;Southern California;Chicago IL,Finance / Investment / Banking;Product / Product Management / UX Design;Venture Capital,Career exploration and decision-making;Academic success and study skills,Fitness;Music/Dance,8,1,2,8,9,4,10,3,0
72,Arcu poten,72,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander;Hispanic or Latinx;Native American or American Indian;Other,None,Undecided,Polish Culture and Language;Russian and East European Literatures in Translation,Digital Intelligence,MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Nashville TN;Richmond VA,STEM,Career exploration and decision-making;Networking and professional connections;Work-life balance and time management,Reading;Watching Sports;Performing Arts,5,9,6,4,7,1,3,5,0
73,Accusamus ,73,testemail@qemailserver.com,Trinity,Senior,Male,Black or African-American;Middle Eastern;White,None,Electrical and Computer Engineering;Environmental Sciences;Italian and European Studies,Latin;Music;Visual and Media Studies,Human Rights;Information Science and Information Studies,None / Not listed;MD (Doctor of Medicine);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MM (Master in Management),Northern California;Houston/Dallas/Austin;EU,Journalism;Politics / Government and public sector,Skill development in a specific field;Personal growth and self-improvement;Work-life balance and time management,Visual Arts/Crafts,9,5,8,9,5,1,4,1,0
74,Vestibulum,74,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Other,None,Classical Languages;Visual and Media Studies,Energy Engineering,Islamic Studies,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Washington DC,Accounting,Academic success and study skills;Work-life balance and time management,Fashion;Volunteering;Fishing/Hunting,2,6,5,8,10,10,8,0,0
75,Praesent c,75,testemail@qemailserver.com,Trinity,Junior,Male,Hispanic or Latinx;Native American or American Indian;Prefer not to answer,None,Linguistics and Computer Science;Public Policy Studies;Slavic and Eurasian Studies,Asian American and Diaspora Studies;Philosophy;Psychology,Science and the Public,MBA (Masters of Business Administration);MFA (Master of Fine Arts);MS (Master of Science);MSN (Master of Science in Nursing);MSW (Master of Social Work),Atlanta GA;Charlotte NC;Denver CO,Education;Military,Career exploration and decision-making;Skill development in a specific field;Personal growth and self-improvement,Traveling,7,3,5,3,7,0,5,9,0
76,Enim donec,76,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian,None,Environmental Engineering;Mechanical Engineering;Undecided,Art History,Decision Sciences;Policy Journalism and Media Studies,None / Not listed;JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Atlanta GA;Chicago IL,Law / Legal Services,Networking and professional connections;Work-life balance and time management,Visual Arts/Crafts,4,2,8,1,10,6,1,8,0
77,Dictumst q,77,testemail@qemailserver.com,Trinity,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,African and African American Studies;Art History;Dance,Mathematics;Statistical Science,Aerospace Engineering;Decision Sciences;Islamic Studies,MS (Master of Science);MSN (Master of Science in Nursing);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question;Miami/Central Florida/Tampa Bay;Baltimore MD,Accounting;Military,Personal growth and self-improvement;Work-life balance and time management,Music/Dance;Watching Sports;Movies/TV,5,7,5,3,2,10,6,4,0
78,Gravida ul,78,testemail@qemailserver.com,Pratt,Sophomore,Female,Black or African-American;Middle Eastern;Native American or American Indian;White,None,Ancient Religion and Society;Earth and Climate Sciences;Religious Studies,Brazilian and Global Portuguese Studies,Child Policy Research,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPA (Master of Public Administration);MM (Master in Management),Atlanta GA;Philadelphia and mid/southern NJ,Non-Profit and Social Services,Skill development in a specific field;Academic success and study skills;Work-life balance and time management,Fitness,8,4,8,9,4,7,9,4,0
79,Dapibus cr,79,testemail@qemailserver.com,Trinity,Junior,Male,Other;Prefer not to answer,None,Biophysics;Global Cultural Studies,Asian American and Diaspora Studies;History,Aerospace Engineering;Global Development Engineering;Markets and Management,None / Not listed;MD (Doctor of Medicine);PhD (Doctor of Philosophy);MM (Master in Management),Houston/Dallas/Austin;EU,Dentistry,Personal growth and self-improvement,Family Time;Athletics/Playing Sports,1,8,6,10,7,1,4,9,0
80,Molestie u,80,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;White;Prefer not to answer,None,Medieval and Renaissance Studies,Spanish Studies,Aerospace Engineering;East Asian Studies,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering),Miami/Central Florida/Tampa Bay,Consulting and professional services;Journalism;Manufacturing and engineering,Networking and professional connections,Family Time;Pets;Fishing/Hunting,8,7,9,0,9,2,3,4,0
81,Pharetra a,81,testemail@qemailserver.com,Trinity,Sophomore,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Linguistics,African and African American Studies;Russian Culture and Language;Visual and Media Studies,Health Policy;Latinx Studies in the Global South,None / Not listed;MD (Doctor of Medicine);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Chicago IL;Denver CO,Food and beverage;Telecommunications;International Relations,Skill development in a specific field,Fitness;Watching Sports;Movies/TV,0,7,9,7,4,9,10,2,0
82,Nibh nulla,82,testemail@qemailserver.com,Pratt,Junior,Female,Black or African-American,None,Environmental Sciences,Visual and Media Studies,Materials Science and Engineering;Science and the Public,MBA (Masters of Business Administration);MFA (Master of Fine Arts);MS (Master of Science);MHA (Master of Healthcare Administration);MPH (Master of Public Health),Raleigh/Durham/Chapel Hill,Product / Product Management / UX Design,Work-life balance and time management,Gardening;Athletics/Playing Sports,10,0,7,8,0,2,3,7,0
83,Donec mass,83,testemail@qemailserver.com,Trinity,Senior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Other;Prefer not to answer,None,Public Policy Studies;Slavic and Eurasian Studies,Medical Sociology,Digital Intelligence,None / Not listed,Washington DC;Baltimore MD,Politics / Government and public sector;Real estate,Academic success and study skills;Work-life balance and time management;Emotional support,Traveling,2,1,5,1,3,7,6,8,0
84,Pharetra d,84,testemail@qemailserver.com,Trinity,Junior,Female,Asian or Pacific islander;Middle Eastern,None,Biophysics;Economics,Asian American and Diaspora Studies,Digital Intelligence;Policy Journalism and Media Studies,None / Not listed;MBA (Masters of Business Administration);MA (Master of Arts);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Denver CO;Miami/Central Florida/Tampa Bay,Food and beverage,Skill development in a specific field;Academic success and study skills;Emotional support,Performing Arts,1,7,2,7,10,8,6,1,0
85,Donec pell,85,testemail@qemailserver.com,Trinity,Junior,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Other;Prefer not to answer,None,Ancient Religion and Society,Economics;History;Neuroscience,Health Policy;Markets and Management;Policy Journalism and Media Studies,MBA (Masters of Business Administration);PhD (Doctor of Philosophy);MA (Master of Arts);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;EU,Hospitality and Tourism;Biotechnology,Personal growth and self-improvement,Music/Dance;Performing Arts,8,10,9,10,2,1,2,8,0
86,Wisi laore,86,testemail@qemailserver.com,Pratt,Senior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian;White;Other,None,Evolutionary Anthropology;Visual Arts,Asian American and Diaspora Studies;Finance;Photography,Child Policy Research,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MS (Master of Science);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Richmond VA,Non-Profit and Social Services,Academic success and study skills,Performing Arts,1,7,1,9,5,3,6,7,0
87,Et lacus s,87,testemail@qemailserver.com,Trinity,Sophomore,Male,Asian or Pacific islander,None,Public Policy Studies;Russian,German;Linguistics;Photography,Digital Intelligence;Robotics and Automation,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Boston MA;UK,Real estate,Skill development in a specific field,Gardening;Pets,8,1,10,7,6,3,1,9,0
88,Lacus! Leo,88,testemail@qemailserver.com,Trinity,Junior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Biomedical Engineering;Chemistry;Linguistics,Latin;Mathematics;Russian Culture and Language,Digital Intelligence;Innovation and Entrepreneurship,None / Not listed;MD (Doctor of Medicine);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Pacific Northwest/Seattle;Denver CO;EU,Artificial Intelligence / Machine Learning / Data Science,Networking and professional connections;Personal growth and self-improvement,Pets,7,1,1,7,2,10,7,10,0
89,Mauris orc,89,testemail@qemailserver.com,Pratt,Senior,Male,White;Prefer not to answer,None,Biology;Brazilian and Global Portuguese Studies;Mechanical Engineering,Asian and Middle Eastern Studies;Religious Studies;Russian and East European Literatures in Translation,Decision Sciences;Sustainability Engagement,MD (Doctor of Medicine);MBA (Masters of Business Administration);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Environmental Management);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),Raleigh/Durham/Chapel Hill;Northern California,Nursing;Fashion and Apparel;Agricultural and Food Science,Skill development in a specific field;Personal growth and self-improvement;Work-life balance and time management,Music/Dance;Performing Arts,9,5,3,10,8,9,4,7,0
90,Ut? Faucib,90,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Black or African-American;White,None,Physics,African and African American Studies;Medieval and Renaissance Studies;Visual and Media Studies,Aerospace Engineering;Documentary Studies;Human Rights,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MPH (Master of Public Health);MM (Master in Management);DVM (Doctor of Veterinary Medicine),I don't know/Skip this question,Finance / Investment / Banking;Pharmaceutical;Accounting,Networking and professional connections;Personal growth and self-improvement,Athletics/Playing Sports,2,5,8,6,2,7,10,2,0
91,Platea! Ni,91,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;Other,None,English,Asian and Middle Eastern Studies;Gender Sexuality and Feminist Studies;History,Global Development Engineering;Markets and Management,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MA (Master of Arts);MS (Master of Science);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);MEng (Master of Engineering),Chicago IL,International Relations,Career exploration and decision-making;Skill development in a specific field;Academic success and study skills,Movies/TV,1,10,3,5,5,7,3,9,0
92,Quam phase,92,testemail@qemailserver.com,Pratt,Sophomore,Female,Hispanic or Latinx;White,None,Computer Science;Neuroscience,Inequality Studies;Neuroscience,Decision Sciences;Latinx Studies in the Global South,None / Not listed;JD (Juris Doctorate/Law);PhD (Doctor of Philosophy);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MSW (Master of Social Work);MPA (Master of Public Administration);MM (Master in Management);DVM (Doctor of Veterinary Medicine),Northern California,Finance / Investment / Banking;Media Entertainment and Sports,Career exploration and decision-making,Gardening,8,6,0,7,7,4,10,9,0
93,Eros luctu,93,testemail@qemailserver.com,Pratt,Junior,Male,Asian or Pacific islander;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,Environmental Sciences and Policy;Music,Mathematics,Architectural Engineering;Islamic Studies,JD (Juris Doctorate/Law);MS (Master of Science);MEM (Master of Engineering Management);MHA (Master of Healthcare Administration),Miami/Central Florida/Tampa Bay;EU,Hospitality and Tourism;Food and beverage;Venture Capital,Career exploration and decision-making;Work-life balance and time management;Emotional support,Gaming;Pets;Traveling,6,1,9,9,6,8,1,3,0
94,Vehicula s,94,testemail@qemailserver.com,Pratt,Junior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian,None,Italian and European Studies,Visual Arts,Decision Sciences,None / Not listed;MD (Doctor of Medicine);MBA (Masters of Business Administration);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Philadelphia and mid/southern NJ,Agricultural and Food Science,Networking and professional connections;Emotional support,Fashion,4,6,7,8,2,7,3,0,0
95,Per. Aenea,95,testemail@qemailserver.com,Pratt,Sophomore,Male,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Native American or American Indian,None,Asian and Middle Eastern Studies;Computer Science;Marine Science and Conservation,Computational Biology and Bioinformatics;Evolutionary Anthropology,Aerospace Engineering;Latinx Studies in the Global South;Science and the Public,MD (Doctor of Medicine);MBA (Masters of Business Administration);Psy.D (Doctor of Psychology);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MPP (Masters of Public Policy);MSW (Master of Social Work);MHA (Master of Healthcare Administration);DVM (Doctor of Veterinary Medicine),Houston/Dallas/Austin,Journalism;Research and Development,Academic success and study skills;Emotional support,Fitness;Gaming,8,8,4,3,1,5,3,6,0
96,Nec laoree,96,testemail@qemailserver.com,Pratt,Sophomore,Female,Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White,None,Environmental Sciences;Medieval and Renaissance Studies,Neuroscience;Russian and East European Literatures in Translation;Spanish Studies,None;Information Science and Information Studies;Islamic Studies,MD (Doctor of Medicine);MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MA (Master of Arts);MS (Master of Science);Psy.D (Doctor of Psychology);MeD (Master of Education);MEM (Master of Engineering Management);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration);MPA (Master of Public Administration);MM (Master in Management);MEng (Master of Engineering),Southern California;Chicago IL;Nashville TN,Finance / Investment / Banking;Product / Product Management / UX Design;Venture Capital,Skill development in a specific field;Networking and professional connections;Work-life balance and time management,Gardening;Visual Arts/Crafts,8,9,1,4,0,3,5,10,0
97,Consectetu,97,testemail@qemailserver.com,Pratt,Senior,Male,Hispanic or Latinx;White;Other;Prefer not to answer,None,Civil Engineering;Economics;Slavic and Eurasian Studies,Sociology;Statistical Science,Decision Sciences;Islamic Studies;Philosophy Politics and Economics,None / Not listed;MBA (Masters of Business Administration);JD (Juris Doctorate/Law);MFA (Master of Fine Arts);MSN (Master of Science in Nursing);MEM (Master of Environmental Management);MPP (Masters of Public Policy);MHA (Master of Healthcare Administration),Pacific Northwest/Seattle;China,Real estate;Pharmaceutical,Skill development in a specific field;Emotional support,Time with Friends,0,2,1,8,6,9,10,4,0
98,Platea ac ,98,testemail@qemailserver.com,Trinity,Senior,Female,Asian or Pacific islander;Black or African-American;Hispanic or Latinx;Middle Eastern;Native American or American Indian;White;Other;Prefer not to answer,None,English;Global Cultural Studies;Physics,Marine Science and Conservation,Architectural Engineering;Innovation and Entrepreneurship;Sustainability Engagement,MS (Master of Science);MeD (Master of Education);MPP (Masters of Public Policy);MPH (Master of Public Health);DVM (Doctor of Veterinary Medicine),Philadelphia and mid/southern NJ;Miami/Central Florida/Tampa Bay,STEM;Aerospace and Defense;Dentistry,Skill development in a specific field;Networking and professional connections;Emotional support,Gaming;Outdoor Activities/Hiking/Camping;Fishing/Hunting,9,10,6,6,7,8,8,7,0
99,Pede pelle,99,testemail@qemailserver.com,Trinity,Sophomore,Male,Black or African-American;Middle Eastern;White;Prefer not to answer,None,Earth and Climate Sciences,Philosophy,Latin American Studies;Materials Science and Engineering;Science and the Public,None / Not listed;JD (Juris Doctorate/Law);MA (Master of Arts);MS (Master of Science);MSN (Master of Science in Nursing);DVM (Doctor of Veterinary Medicine),New York City/Tri-State area;Philadelphia and mid/southern NJ;Denver CO,Pharmaceutical;Environmental Science,Work-life balance and time management;Emotional support,Cooking/Baking;Fishing/Hunting,7,3,7,0,9,2,5,2,0
